OID,PlaceName,Prop_Tax,Tax_Rev
0,Adelanto,293941,7959379
1,Agoura Hills,2915247,19688412
2,Alameda,32478748,108131302
3,Albany,5707840,21183003
4,Alhambra,12008604,54447836
5,Aliso Viejo,2838294,17144953
6,Alturas,364246,1605191
7,Amador,50812,109647
8,American Canyon,9041701,23118556
9,Anaheim,46208272,300895978
10,Anderson,815725,7757198
11,Angels,602449,3515868
12,Antioch,11901572,64933590
13,Apple Valley,4961363,26018602
14,Arcadia,15513719,54129132
15,Arcata,1609617,10980621
16,Arroyo Grande,5524339,15857554
17,Artesia,1018952,8371448
18,Arvin,237540,5465790
19,Atascadero,7442388,21780120
20,Atherton,9856986,17654092
21,Atwater,2325220,13835585
22,Auburn,3132788,12849459
23,Avalon,240263,9432830
24,Avenal,270513,3287173
25,Azusa,5433485,34911934
26,Bakersfield,48923465,258101527
27,Baldwin Park,4725368,31589284
28,Banning,2773670,11787219
29,Barstow,4505849,29030339
30,Beaumont,5073994,28227994
31,Bell,811408,17557255
32,Bell Gardens,1244337,24994458
33,Bellflower,3526203,32159379
34,Belmont,4404185,35473175
35,Belvedere,4948101,6569407
36,Benicia,16236863,39939134
37,Berkeley,66480632,202396817
38,Beverly Hills,60431236,199883870
39,Big Bear Lake,3069283,21849641
40,Biggs,183761,504767
41,Bishop,559746,6105661
42,Blue Lake,133612,444679
43,Blythe,865230,7813251
44,Bradbury,461751,879120
45,Brawley,2052481,14635432
46,Brea,7478105,49328265
47,Brentwood,13864519,45667969
48,Brisbane,2869402,18831068
49,Buellton,1599958,8037952
50,Buena Park,7308559,57682734
51,Burbank,34253501,144081152
52,Burlingame,16630088,65094349
53,Calabasas,8084344,24269711
54,Calexico,2006992,17239207
55,California City,1354894,11114657
56,Calimesa,2770587,5369221
57,Calipatria,46925,1121186
58,Calistoga,2195794,9702794
59,Camarillo,11495684,41685735
60,Campbell,11213827,42031535
61,Canyon Lake,1883557,5051607
62,Capitola,1241099,19160788
63,Carlsbad,58054159,146074420
64,Carmel-By-The-Sea,6414384,18283382
65,Carpinteria,2533536,12858537
66,Carson,7771814,76822534
67,Cathedral City,1019832,50380742
68,Ceres,2445019,20175893
69,Cerritos,3736101,53131193
70,Chico,9530383,59790773
71,Chino,10963686,61329369
72,Chino Hills,5837210,28769938
73,Chowchilla,858888,8432733
74,Chula Vista,37185729,174396959
75,Citrus Heights,5888260,27671375
76,Claremont,6208025,25178676
77,Clayton,1010464,5408724
78,Clearlake,844822,8485708
79,Cloverdale,1642854,7366773
80,Clovis,15144340,66216813
81,Coachella,404683,18624844
82,Coalinga,415800,6921958
83,Colfax,368127,2375187
84,Colma,493745,14767130
85,Colton,4095786,26876766
86,Colusa,909425,3855426
87,Commerce,2015588,59900773
88,Compton,4413503,90248811
89,Concord,15797727,102611731
90,Corcoran,255529,7530503
91,Corning,597257,6659846
92,Corona,28677822,102625230
93,Coronado,28524253,48266930
94,Corte Madera,4927263,19892827
95,Costa Mesa,30986854,117478906
96,Cotati,604623,8049061
97,Covina,6755767,42181243
98,Crescent City,142270,3796882
99,Cudahy,162196,8100886
100,Culver City,5897646,95905694
101,Cupertino,17728990,78326620
102,Cypress,9970998,36258789
103,Daly City,23169543,82174086
104,Dana Point,9198714,33299131
105,Danville,10677837,25806022
106,Davis,14102536,55999876
107,Del Mar,5983398,13705718
108,Del Rey Oaks,495351,2938162
109,Delano,2367646,24841155
110,Desert Hot Springs,902055,17811161
111,Diamond Bar,5406319,23305674
112,Dinuba,735789,19800974
113,Dixon,4470559,19877862
114,Dorris,96988,257584
115,Dos Palos,364500,1744501
116,Downey,16595444,83013155
117,Duarte,1389050,12195226
118,Dublin,39843828,88412104
119,Dunsmuir,320878,1061792
120,East Palo Alto,7371442,29627409
121,Eastvale,8557031,28483871
122,El Cajon,8563558,66926509
123,El Centro,3946755,35570785
124,El Cerrito,8430315,29449615
125,El Monte,7165049,76888723
126,El Paso De Robles,6810152,38493884
127,El Segundo,8527104,61152251
128,Elk Grove,13493425,73584343
129,Emeryville,1741052,45882282
130,Encinitas,41715422,69601510
131,Escalon,1178155,3944637
132,Escondido,13705743,82698124
133,Etna,106066,297825
134,Eureka,2928424,25690796
135,Exeter,1133245,4886860
136,Fairfax,2856167,10093655
137,Fairfield,15946212,100181438
138,Farmersville,381442,4658609
139,Ferndale,161937,723031
140,Fillmore,576656,6264136
141,Firebaugh,195309,3709462
142,Folsom,28803455,80267848
143,Fontana,32797043,135655418
144,Fort Bragg,437791,6845721
145,Fort Jones,90120,392693
146,Fortuna,471766,6491082
147,Foster City,NULL,47360216
148,Fountain Valley,12105157,49726330
149,Fowler,693582,5519372
150,Fremont,76945549,263697694
151,Fresno,73571025,305608188
152,Fullerton,30903351,80778708
153,Galt,2962435,14948231
154,Garden Grove,15738375,120479616
155,Gardena,7660514,45426554
156,Gilroy,10147346,44892609
157,Glendale,35845124,193617548
158,Glendora,7276680,35516468
159,Goleta,3544100,27075128
160,Gonzales,1064025,5228162
161,Grand Terrace,635274,5805615
162,Grass Valley,2765998,17343399
163,Greenfield,416309,9102861
164,Gridley,584178,2436798
165,Grover Beach,2603141,12360502
166,Guadalupe,263599,2885237
167,Gustine,533284,2496808
168,Half Moon Bay,1981573,13966889
169,Hanford,5345967,28693622
170,Hawaiian Gardens,8442,14393613
171,Hawthorne,6377532,75941634
172,Hayward,37792660,167083807
173,Healdsburg,1856210,15602136
174,Hemet,5963865,47784854
175,Hercules,1301832,13529675
176,Hermosa Beach,16260571,29785683
177,Hesperia,899552,30723214
178,Hidden Hills,1037520,2363343
179,Highland,6634553,21761887
180,Hillsborough,16953377,26082933
181,Hollister,1310840,24735393
182,Holtville,169078,1968655
183,Hughson,369271,2725286
184,Huntington Beach,58395301,176908321
185,Huntington Park,976186,37575985
186,Huron,151127,1743704
187,Imperial,1566916,7887383
188,Imperial Beach,1741570,14222843
189,Indian Wells,2771569,13848895
190,Indio,7561563,59891292
191,Industry,2468464,113298236
192,Inglewood,9206352,122406010
193,Ione,789554,2936648
194,Irvine,49453704,199067587
195,Irwindale,436624,18936189
196,Isleton,82225,992257
197,Jackson,920804,3104587
198,Jurupa Valley,5444130,43725655
199,Kerman,852144,7912017
200,King City,909190,7946950
201,Kingsburg,1217194,7447309
202,La Canada Flintridge,5807089,14157084
203,La Habra,11062700,40121603
204,La Habra Heights,1518441,2885366
205,La Mesa,8129684,44877614
206,La Mirada,6394006,32262774
207,La Palma,2314133,9753722
208,La Puente,1586030,16370258
209,La Quinta,7027361,45429835
210,La Verne,5674562,22863680
211,Lafayette,5549814,15676543
212,Laguna Beach,35309537,59470009
213,Laguna Hills,7633721,19725170
214,Laguna Niguel,16299134,40076492
215,Laguna Woods,269715,5209973
216,Lake Elsinore,2910460,29773644
217,Lake Forest,10388110,55032018
218,Lakeport,567505,5239548
219,Lakewood,5393247,37306606
220,Lancaster,8505184,87682077
221,Larkspur,9035806,19350778
222,Lathrop,4908708,31539812
223,Lawndale,1039219,17161745
224,Lemon Grove,2610911,13208591
225,Lemoore,966101,8390280
226,Lincoln,6546170,18406217
227,Lindsay,362276,6300223
228,Live Oak,705754,3304502
229,Livermore,35871115,97324625
230,Livingston,1453174,5596764
231,Lodi,11336624,52258237
232,Loma Linda,1323807,12165494
233,Lomita,1714945,8842189
234,Lompoc,4616793,19460590
235,Long Beach,98467257,467690420
236,Loomis,1257340,4766474
237,Los Alamitos,2300415,10757520
238,Los Altos,21138217,37791611
239,Los Altos Hills,5127420,7973525
240,Los Angeles,1535239086,5165194300
241,Los Banos,4042409,23137463
242,Los Gatos,12477497,31625747
243,Loyalton,28189,110998
244,Lynwood,2902969,35890621
245,Madera,4627504,30578150
246,Malibu,12107754,28673010
247,Mammoth Lakes,2525208,30397421
248,Manhattan Beach,28545348,54481681
249,Manteca,9318266,54877539
250,Maricopa,82077,304962
251,Marina,2512767,22470564
252,Martinez,9521300,32325925
253,Marysville,1302691,9468577
254,Maywood,272271,12529434
255,McFarland,430502,2925174
256,Mendota,52582,3692915
257,Menifee,14603427,53250379
258,Menlo Park,16687680,54854567
259,Merced,7309890,45525348
260,Mill Valley,17920811,26532578
261,Millbrae,6280593,24875098
262,Milpitas,18895838,106894566
263,Mission Viejo,25152234,59743921
264,Modesto,16380803,135636387
265,Monrovia,8977191,41032771
266,Montague,157304,460845
267,Montclair,3169853,27193866
268,Monte Sereno,1467741,2500883
269,Montebello,4420502,47742878
270,Monterey,7924105,61150191
271,Monterey Park,10157425,43715215
272,Moorpark,5213459,18028278
273,Moraga,2400992,9538946
274,Moreno Valley,20113958,104808067
275,Morgan Hill,5785756,39685282
276,Morro Bay,3372064,12095845
277,Mountain View,91468893,155443870
278,Mt. Shasta,577855,3617554
279,Murrieta,21066114,77992039
280,Napa,24048936,85658586
281,National City,3927793,48124802
282,Needles,1272283,5783347
283,Nevada City,1330222,5430584
284,Newark,16955717,57337566
285,Newman,893951,3534599
286,Newport Beach,98246663,184277475
287,Norco,1500951,22395295
288,Norwalk,7772156,50071266
289,Novato,7561446,31070497
290,Oakdale,1697409,13050297
291,Oakland,136081521,829940534
292,Oakley,3704460,20943326
293,Oceanside,44521613,120261822
294,Ojai,1720185,8447140
295,Ontario,34842314,264750919
296,Orange,24754270,108983511
297,Orange Cove,46740,2573087
298,Orinda,5458894,17013151
299,Orland,951938,4981259
300,Oroville,622884,20508520
301,Oxnard,37433282,133316143
302,Pacific Grove,5465667,20738966
303,Pacifica,12781322,29500402
304,Palm Desert,5279155,53302564
305,Palm Springs,25332395,115374967
306,Palmdale,7382083,100068193
307,Palo Alto,39058744,127662406
308,Palos Verdes Estates,8719292,12314062
309,Paradise,5306138,9899767
310,Paramount,1775394,28459917
311,Parlier,223825,4436169
312,Pasadena,58204190,213414022
313,Patterson,3386051,14522504
314,Perris,6068277,66149081
315,Petaluma,9591752,40641147
316,Pico Rivera,4088989,44664983
317,Piedmont,14287149,24731443
318,Pinole,2421787,18238674
319,Pismo Beach,4586134,21077702
320,Pittsburg,3715900,34873822
321,Placentia,9132304,36289120
322,Placerville,296690,10880021
323,Pleasant Hill,3414714,28500772
324,Pleasanton,63818929,116975820
325,Plymouth,236439,922637
326,Point Arena,55135,371749
327,Pomona,18150637,101008125
328,Port Hueneme,1714553,16395240
329,Porterville,2982870,34394221
330,Portola,252813,816112
331,Portola Valley,2489548,5054469
332,Poway,11077590,41929444
333,Rancho Cordova,11087134,58676077
334,Rancho Cucamonga,34894293,128858445
335,Rancho Mirage,5418389,22853656
336,Rancho Palos Verdes,9061824,29088974
337,Rancho Santa Margarita,2630685,16826732
338,Red Bluff,1688081,10436138
339,Redding,11111281,59835316
340,Redlands,21798609,58503534
341,Redondo Beach,28282615,66562506
342,Redwood City,41611334,128529666
343,Reedley,1265408,8632493
344,Rialto,7066353,75163120
345,Richmond,36435019,179764738
346,Ridgecrest,389669,12976980
347,Rio Dell,127694,1606081
348,Rio Vista,1833650,5697175
349,Ripon,1860612,8951233
350,Riverbank,1338116,7540842
351,Riverside,23631828,256160037
352,Rocklin,12320504,45883472
353,Rohnert Park,4096744,32103293
354,Rolling Hills,1197337,1606755
355,Rolling Hills Estates,2454040,6212927
356,Rosemead,3045637,22038833
357,Roseville,39140681,132347998
358,Ross,4000161,6111836
359,Sacramento,136454000,505369000
360,Salinas,15977806,135785818
361,San Anselmo,7451013,18162386
362,San Bernardino,45194,117560327
363,San Bruno,8080257,34725824
364,San Buenaventura,28167061,101556223
365,San Carlos,13016722,41044981
366,San Clemente,27248449,52934039
367,San Diego,400041360,1383978502
368,San Dimas,4360890,22064449
369,San Fernando,1916475,22241983
370,San Francisco,1571935231,4636362112
371,San Gabriel,6081980,33784199
372,San Jacinto,2001059,13322678
373,San Joaquin,29616,1060871
374,San Jose,227936158,1118604705
375,San Juan Bautista,424540,1525693
376,San Juan Capistrano,7284852,25634394
377,San Leandro,14109211,102757681
378,San Luis Obispo,13188944,59301869
379,San Marcos,7268652,50283513
380,San Marino,16394798,22115437
381,San Mateo,40194093,115661011
382,San Pablo,483484,37796667
383,San Rafael,15992060,72192758
384,San Ramon,15961404,44299653
385,Sand City,89704,5892333
386,Sanger,1743951,11490782
387,Santa Ana,38846491,264799620
388,Santa Barbara,23235482,127244457
389,Santa Clara,40092583,144055324
390,Santa Clarita,27496582,116183767
391,Santa Cruz,14625149,79374230
392,Santa Fe Springs,2489602,62641418
393,Santa Maria,11438165,78838102
394,Santa Monica,35074437,276714317
395,Santa Paula,645695,10791548
396,Santa Rosa,28365642,150793230
397,Santee,11126430,39711914
398,Saratoga,9784690,22052529
399,Sausalito,3464363,13001993
400,Scotts Valley,976707,10755601
401,Seal Beach,9115553,29029012
402,Seaside,1879313,31807224
403,Sebastopol,1493352,8368870
404,Selma,1440232,16182405
405,Shafter,1728373,28559914
406,Shasta Lake,818801,4760853
407,Sierra Madre,4900498,10907445
408,Signal Hill,705983,21793436
409,Simi Valley,24127586,70827173
410,Solana Beach,8261801,16238467
411,Soledad,437958,9699857
412,Solvang,853273,7034415
413,Sonoma,4310824,14305839
414,Sonora,607593,6599548
415,South El Monte,893887,14656676
416,South Gate,2920086,41728233
417,South Lake Tahoe,8359967,40890154
418,South Pasadena,11689064,24803574
419,South San Francisco,20430721,106761747
420,St. Helena,4414649,15845619
421,Stanton,1406833,20678379
422,Stockton,35341187,253054870
423,Suisun City,839971,14551683
424,Sunnyvale,60493094,162793623
425,Susanville,1027484,4862661
426,Sutter Creek,556461,1589387
427,Taft,691051,3739090
428,Tehachapi,1056734,7765500
429,Tehama,19075,81263
